player_id,image_url,commons_file
tm:10,https://commons.wikimedia.org/wiki/Special:FilePath/2016209185719%202016-07-27%20Champions%20for%20Charity%20-%20Sven%20-%201D%20X%20-%200149%20-%20DV3P4742%20mod.jpg?width=128,2016209185719 2016-07-27 Champions for Charity - Sven - 1D X - 0149 - DV3P4742 mod.jpg
tm:100001,https://commons.wikimedia.org/wiki/Special:FilePath/Carlos%20Auzqui.jpg?width=128,Carlos Auzqui.jpg
tm:100009,https://commons.wikimedia.org/wiki/Special:FilePath/Xand%C3%A3o.jpg?width=128,Xandão.jpg
tm:10003,https://commons.wikimedia.org/wiki/Special:FilePath/Wes%20Morgan%20Warming%20up%20vs%20Leamington%20Spa.jpg?width=128,Wes Morgan Warming up vs Leamington Spa.jpg
tm:100089,https://commons.wikimedia.org/wiki/Special:FilePath/Paulo%20Regula.JPG?width=128,Paulo Regula.JPG
tm:100098,https://commons.wikimedia.org/wiki/Special:FilePath/%D0%94%D0%B0%D1%80%D0%BA%D0%BE%20%D0%9F%D0%B0%D0%BD%D1%87%D0%B5%D0%B2%202020.png?width=128,Дарко Панчев 2020.png
tm:100101,https://commons.wikimedia.org/wiki/Special:FilePath/Thomas%20Azevedo%20Lommel%20United.JPG?width=128,Thomas Azevedo Lommel United.JPG
tm:100131,https://commons.wikimedia.org/wiki/Special:FilePath/William%20Carvalho.jpg?width=128,William Carvalho.jpg
tm:1001938,https://commons.wikimedia.org/wiki/Special:FilePath/Alonso%20Coello%20%28cropped%29.jpg?width=128,Alonso Coello (cropped).jpg
tm:100379,https://commons.wikimedia.org/wiki/Special:FilePath/MosqueraMarmolejo.jpg?width=128,MosqueraMarmolejo.jpg
tm:100399,https://commons.wikimedia.org/wiki/Special:FilePath/Nicolai%20J%C3%B8rgensen%20%282%29%20%28cropped%29.JPG?width=128,Nicolai Jørgensen (2) (cropped).JPG
tm:1004301,https://commons.wikimedia.org/wiki/Special:FilePath/Jacquet%20asse%20srfc%202425.png?width=128,Jacquet asse srfc 2425.png
tm:1004327,https://commons.wikimedia.org/wiki/Special:FilePath/240626%20FC%20%EC%84%9C%EC%9A%B8%20vs%20%EA%B0%95%EC%9B%90%20%28%EC%96%91%EB%AF%BC%ED%98%81%29.jpg?width=128,240626 FC 서울 vs 강원 (양민혁).jpg
tm:1004344,https://commons.wikimedia.org/wiki/Special:FilePath/Lens%20-%20Torino%20FC%20%2802-08-2023%29%2011.jpg?width=128,Lens - Torino FC (02-08-2023) 11.jpg
tm:1004618,https://commons.wikimedia.org/wiki/Special:FilePath/Stredair%20Appuah.jpg?width=128,Stredair Appuah.jpg
tm:1004619,https://commons.wikimedia.org/wiki/Special:FilePath/FC%20Salzburg%20U19%20gegen%20FC%20Nantes%20U19%20%282024-02-28%29%2041.jpg?width=128,FC Salzburg U19 gegen FC Nantes U19 (2024-02-28) 41.jpg
tm:1004681,https://commons.wikimedia.org/wiki/Special:FilePath/Red%20Star-Ajaccio%2C%2026-08-2024%2C%20Tony%20Strata%20%28cropped%29.jpg?width=128,"Red Star-Ajaccio, 26-08-2024, Tony Strata (cropped).jpg"
tm:1004723,https://commons.wikimedia.org/wiki/Special:FilePath/Fellipe%20Jack%20Como%202025-1.jpg?width=128,Fellipe Jack Como 2025-1.jpg
tm:1004739,https://commons.wikimedia.org/wiki/Special:FilePath/Luiz-gustavo-bahia-entrevista-2023%20%28cropped%29.png?width=128,Luiz-gustavo-bahia-entrevista-2023 (cropped).png
tm:1004741,https://commons.wikimedia.org/wiki/Special:FilePath/Pedro%20in%20Zenit%202024.jpg?width=128,Pedro in Zenit 2024.jpg
tm:1004834,https://commons.wikimedia.org/wiki/Special:FilePath/Ilenikhena%20asse%20asm%202425.png?width=128,Ilenikhena asse asm 2425.png
tm:100497,https://commons.wikimedia.org/wiki/Special:FilePath/Palestino%20-%20Deportes%20Temuco%2C%202018-08-11%20-%20Alejandro%20Dami%C3%A1n%20Gonz%C3%A1lez%20-%2002.jpg?width=128,"Palestino - Deportes Temuco, 2018-08-11 - Alejandro Damián González - 02.jpg"
tm:100507,https://commons.wikimedia.org/wiki/Special:FilePath/Juan%20Carlos%20Paredes.JPG?width=128,Juan Carlos Paredes.JPG
tm:1005240,https://commons.wikimedia.org/wiki/Special:FilePath/Mawissa%20asse%20asm%202425.png?width=128,Mawissa asse asm 2425.png
tm:10055,https://commons.wikimedia.org/wiki/Special:FilePath/Billy%20Costacurta%20AC%20Milan%20Glorie%202011.jpg?width=128,Billy Costacurta AC Milan Glorie 2011.jpg
